Category,Collector,Name,JSON Path,Unit,Type,Description,Source,Link,Notes
Dynamic,container,ContainerMemoryUsed,Container.MemoryUsed,bytes,Gauge,Total current memory usage by processes in the cgroup in bytes,v1: memory.usage_in_bytes; v2: memory.current,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
Dynamic,container,ContainerNetworkBytesRecvd,Container.NetworkBytesRecvd,bytes,Counter,The number of bytes each interface has received,/proc/net/dev → within cgroup,https://man7.org/linux/man-pages/man5/proc_net_dev.5.html,
Dynamic,container,ContainerNetworkBytesSent,Container.NetworkBytesSent,bytes,Counter,The number of bytes each interface has sent,/proc/net/dev → within cgroup,https://man7.org/linux/man-pages/man5/proc_net_dev.5.html,
Dynamic,container,ContainerPgFault,Container.PgFault,faults,Counter,Page faults in the cgroup,v2: memory.stat → pgfault,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
Dynamic,container,ContainerProcessCount,Container.ProcessCount,count,Gauge,Number of processes inside a container,v1: tasks count; v2: pids.current,https://docs.kernel.org/admin-guide/cgroup-v1/pids.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#pid-interface-files,
Dynamic,manager,timestamp/*T,timestamp/*T,nanoseconds since Unix epoch,Gauge,Timestamp when metrics were collected (applies to per metrics timestamps as well *T),time.Now().UnixNano(),https://pkg.go.dev/time#Time.UnixMilli,
Dynamic,nvidia,Nvidia*ClocksGraphics,Nvidia[].Clocks.Graphics,megahertz,Gauge,The current clock speed for the graphics clock domain in MHz.,nvmlDeviceGetClockInfo(GRAPHICS),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*ClocksMemory,Nvidia[].Clocks.Memory,megahertz,Gauge,The current clock speed for the memory clock domain in MHz.,nvmlDeviceGetClockInfo(MEM),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*ClocksPState,Nvidia[].Clocks.PState,state (P0–P15),Gauge,The current performance state for the device. States range from P0 (maximum performance) to P15 (minimum performance).,nvmlDeviceGetPerformanceState(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g9c10627cc11e096864e94c370d900d0b,
Dynamic,nvidia,Nvidia*ClocksSM,Nvidia[].Clocks.SM,megahertz,Gauge,The current clock speed for the SM clock domain in MHz.,nvmlDeviceGetClockInfo(SM),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*ClocksThrottleReasons,Nvidia[].Clocks.ThrottleReasons,bitmask,Gauge,Current clocks event reasons. More than one bit can be enabled at the same time. Multiple reasons can be affecting clocks at once.,nvmlDeviceGetCurrentClocksEventReasons(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g7e505374454a0d4fc7339b6c885656d6,
Dynamic,nvidia,Nvidia*ClocksVideo,Nvidia[].Clocks.Video,megahertz,Gauge,The current clock speed for the video clock domain in MHz.,nvmlDeviceGetClockInfo(VIDEO),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*Index,Nvidia[].Index,index,Plain,The NVML index of this device. Valid indices are derived from the accessibleDevices count returned by nvmlDeviceGetCount_v2().,nvmlDeviceGetIndex(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ga93623b195bff04bbe3490ca33c8a42d,
Dynamic,nvidia,Nvidia*MemoryBar1Free,Nvidia[].Memory.Bar1Free,bytes,Gauge,Free BAR1 memory in bytes.,nvmlDeviceGetBAR1MemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g52c5036ce0db5dc56ad61f284500f3eb,
